Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ ),work_id,work_category,completed_disbursed_amount,completion_date,state,constituency,mp_name,description,has_image
33630,Normal/Others,"WS/MP18306/2025-2026/185495-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Construction ot Palerippadi MuthamKunnath  Road,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,07-Aug-2026,214710.48,WS/MP18306/2025-2026/185495,Normal/Others,214710.48,2026-08-07,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,Construction ot Palerippadi MuthamKunnath  Road,True
33631,Normal/Others,WS/MP017/2026-2027/238009-Setting up crops conservation facilities,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",Installation of Threshing Floor in thandalam,S. Jagathrakshakan,ARAKKONAM,Images,02-Sep-2026,512525.11,WS/MP017/2026-2027/238009,Normal/Others,512525.11,2026-09-02,TAMIL NADU,ARAKKONAM,S. JAGATHRAKSHAKAN,Installation of Threshing Floor in thandalam,True
33632,Normal/Others,WS/MP18306/2025-2026/185465-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Installation of minimast light at Kaja Nagar,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,07-Aug-2026,80560.32,WS/MP18306/2025-2026/185465,Normal/Others,80560.32,2026-08-07,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,Installation of minimast light at Kaja Nagar,True
33633,Normal/Others,"WS/MP343/2025-2026/199163-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Concreting of Varuvila Maniyangal Mulluvila Kaalayithottam Road,Dr Shashi Tharoor,THIRUVANANTHAPURAM,Images,09-Sep-2026,214433.69,WS/MP343/2025-2026/199163,Normal/Others,214433.69,2026-09-09,KERALA,THIRUVANANTHAPURAM,DR SHASHI THAROOR,Concreting of Varuvila Maniyangal Mulluvila Kaalayithottam Road,True
33634,Normal/Others,WS/MP348/2025-2026/165718-Street lights,Kerala,THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),MINIMAST LIGHT AT KOODAPPUZHA JUNCTION CHALAKUDY,Shri Benny Behanan,CHALAKUDY,Images,05-Sep-2026,93491.22,WS/MP348/2025-2026/165718,Normal/Others,93491.22,2026-09-05,KERALA,CHALAKUDY,SHRI BENNY BEHANAN,MINIMAST LIGHT AT KOODAPPUZHA JUNCTION CHALAKUDY,True
33635,Normal/Others,"WS/	 MP005/2025-2026/239937-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Construction of C C Road work at Khodiyar mataji Mandir towards alpeshbhai velabhai house area,Devusinh Jesingbhai Chauhan,KHEDA,Images,31-Jul-2026,76884.23,WS/MP005/2025-2026/239937,Normal/Others,76884.23,2026-07-31,GUJARAT,KHEDA,DEVUSINH JESINGBHAI CHAUHAN,Construction of C C Road work at Khodiyar mataji Mandir towards alpeshbhai velabhai house area,True
33636,Normal/Others,"WS/MP18306/2025-2026/186304-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Construction of Moonnam Moola vadakkepatu road,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,27-Jul-2026,227882.28,WS/MP18306/2025-2026/186304,Normal/Others,227882.28,2026-07-27,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,Construction of Moonnam Moola vadakkepatu road,True
33637,Normal/Others,WS/MP18306/2025-2026/185490-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Installation of minimast light at Palakkaparambu Sc colony,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,07-Aug-2026,80560.32,WS/MP18306/2025-2026/185490,Normal/Others,80560.32,2026-08-07,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,Installation of minimast light at Palakkaparambu Sc colony,True
33638,Normal/Others,WS/MP241/2026-2027/255077-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),SOLSR LIGHT,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2026-2027/255077,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,SOLSR LIGHT,True
33639,Normal/Others,"WS/MP18306/2025-2026/244227-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Construction of Cheenikkal Kunchikuttan Padi - kp sreekumaran moosad padi Road,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,06-Aug-2026,127916.39,WS/MP18306/2025-2026/244227,Normal/Others,127916.39,2026-08-06,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,Construction of Cheenikkal Kunchikuttan Padi - kp sreekumaran moosad padi Road,True
33640,Normal/Others,WS/MP18306/2025-2026/185487-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Installation of minimast light at Chemmankunnu Colony,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,07-Aug-2026,80560.32,WS/MP18306/2025-2026/185487,Normal/Others,80560.32,2026-08-07,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,Installation of minimast light at Chemmankunnu Colony,True
33641,Normal/Others,"WS/MP18305/2025-2026/183140-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Construction of Chemmanthatta Vakkayil kallu path way,E.T. MOHAMMED BASHEER,MALAPPURAM,Images,30-Jul-2026,140455.69,WS/MP18305/2025-2026/183140,Normal/Others,140455.69,2026-07-30,KERALA,MALAPPURAM,E.T. MOHAMMED BASHEER,Construction of Chemmanthatta Vakkayil kallu path way,True
33642,Normal/Others,"WS/MP18210/2026-2027/277445-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Construction of an interlocking pavement from Shankars house to Chandrabalis house in Gram Sabha Gahura Harhua Development Block,VIRENDRA SINGH,CHANDAULI,Images,25-Aug-2026,77898.07,WS/MP18210/2026-2027/277445,Normal/Others,77898.07,2026-08-25,UTTAR PRADESH,CHANDAULI,VIRENDRA SINGH,Construction of an interlocking pavement from Shankars house to Chandrabalis house in Gram Sabha Gahura Harhua Development Block,True
33643,Normal/Others,"WS/MP18210/2026-2027/277917-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Construction of an interlocking pavement from the CC road to Ramesh Singhs house in Gram Sabha Pashchimpura Pindra Development Block,VIRENDRA SINGH,CHANDAULI,Images,22-Aug-2026,464659.04,WS/MP18210/2026-2027/277917,Normal/Others,464659.04,2026-08-22,UTTAR PRADESH,CHANDAULI,VIRENDRA SINGH,Construction of an interlocking pavement from the CC road to Ramesh Singhs house in Gram Sabha Pashchimpura Pindra Development Block,True
33644,Normal/Others,"WS/MP18210/2026-2027/277920-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Construction of an interlocking pavement from Dharmendra Yadav landholding to the vicinity of the Chiurapur Pond in Gram Sabha Chiurapur Pindra Development Block,VIRENDRA SINGH,CHANDAULI,Images,21-Aug-2026,,WS/MP18210/2026-2027/277920,Normal/Others,,2026-08-21,UTTAR PRADESH,CHANDAULI,VIRENDRA SINGH,Construction of an interlocking pavement from Dharmendra Yadav landholding to the vicinity of the Chiurapur Pond in Gram Sabha Chiurapur Pindra Development Block,True
33645,Normal/Others,"WS/MP18210/2026-2027/277923-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Construction of an interlocking pavement from the main road to Phoolchand Yadav house in Gram Sabha Ugapur Cholapur Development Block,VIRENDRA SINGH,CHANDAULI,Images,25-Aug-2026,59622.69,WS/MP18210/2026-2027/277923,Normal/Others,59622.69,2026-08-25,UTTAR PRADESH,CHANDAULI,VIRENDRA SINGH,Construction of an interlocking pavement from the main road to Phoolchand Yadav house in Gram Sabha Ugapur Cholapur Development Block,True
33646,Normal/Others,"WS/MP18210/2026-2027/277926-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Interlocking construction work from near the Chaura Mata Temple to Guddu Chauhan house in Gram Sabha Jariyari Cholapur Development Block,VIRENDRA SINGH,CHANDAULI,Images,25-Aug-2026,460680.03,WS/MP18210/2026-2027/277926,Normal/Others,460680.03,2026-08-25,UTTAR PRADESH,CHANDAULI,VIRENDRA SINGH,Interlocking construction work from near the Chaura Mata Temple to Guddu Chauhan house in Gram Sabha Jariyari Cholapur Development Block,True
33647,Normal/Others,WS/MP18306/2025-2026/185485-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Installation of minimast light at Karimbanakkunnu,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,07-Aug-2026,80560.32,WS/MP18306/2025-2026/185485,Normal/Others,80560.32,2026-08-07,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,Installation of minimast light at Karimbanakkunnu,True
33648,Normal/Others,WS/MP241/2026-2027/255076-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),SOLAR LIGHT,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2026-2027/255076,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,SOLAR LIGHT,True
33649,Normal/Others,WS/MP241/2025-2026/266881-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),SOLAR HIGH MAST LIGHT,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2025-2026/266881,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,SOLAR HIGH MAST LIGHT,True
33650,Normal/Others,WS/MP241/2025-2026/255071-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),SOLAR LIGHT,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2025-2026/255071,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,SOLAR LIGHT,True
33651,Normal/Others,WS/MP18305/2026-2027/182588-Construction of footpaths and pedestrian ways,Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Construction of Thottungal Thuppanakkad road,E.T. MOHAMMED BASHEER,MALAPPURAM,Images,06-Aug-2026,157571.66,WS/MP18305/2026-2027/182588,Normal/Others,157571.66,2026-08-06,KERALA,MALAPPURAM,E.T. MOHAMMED BASHEER,Construction of Thottungal Thuppanakkad road,True
33652,Normal/Others,WS/MP348/2025-2026/165720-Street lights,Kerala,THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),MINIMAST LIGHT AT ADAYKKAPANTHAL JUNCTION SITHARA NAGAR CHALAKUDY,Shri Benny Behanan,CHALAKUDY,Images,05-Sep-2026,96842.35,WS/MP348/2025-2026/165720,Normal/Others,96842.35,2026-09-05,KERALA,CHALAKUDY,SHRI BENNY BEHANAN,MINIMAST LIGHT AT ADAYKKAPANTHAL JUNCTION SITHARA NAGAR CHALAKUDY,True
33653,Normal/Others,WS/MP18177/2025-2026/242306-Street lights,Tamil Nadu,NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA),"Installation of 9 Mtr (High Mast Light) Small tower electric light near ward No.10 Padaveedu Town Panchayat, Kumarapalayam (1 Nos) (2025-26)",K E PRAKASH,ERODE,Images,11-Jul-2026,230652.68,WS/MP18177/2025-2026/242306,Normal/Others,230652.68,2026-07-11,TAMIL NADU,ERODE,K E PRAKASH,"Installation of 9 Mtr (High Mast Light) Small tower electric light near ward No.10 Padaveedu Town Panchayat, Kumarapalayam (1 Nos) (2025-26)",True
33654,Normal/Others,WS/MP743/2026-2027/224683-Construction of bus-sheds or bus-stops,Tamil Nadu,CHENGALPATTU(District Collector Chengalpattu_IDA),"Construction of Bus Shelter at Kalpakkam Panchayat, Thirukalukundram Panchayat Union.",Ganesan Selvam,KANCHEEPURAM(SC),Images,21-Aug-2026,1024342.38,WS/MP743/2026-2027/224683,Normal/Others,1024342.38,2026-08-21,TAMIL NADU,KANCHEEPURAM(SC),GANESAN SELVAM,"Construction of Bus Shelter at Kalpakkam Panchayat, Thirukalukundram Panchayat Union.",True
33655,Normal/Others,WS/MP18305/2026-2027/182587-Construction of footpaths and pedestrian ways,Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Construction of Pallippadi Hidaya road,E.T. MOHAMMED BASHEER,MALAPPURAM,Images,05-Aug-2026,156007.83,WS/MP18305/2026-2027/182587,Normal/Others,156007.83,2026-08-05,KERALA,MALAPPURAM,E.T. MOHAMMED BASHEER,Construction of Pallippadi Hidaya road,True
33656,Normal/Others,WS/MP747/2026-2027/242062-Construction of community centers and community halls,Tamil Nadu,VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),Construction of community Hall Building in Sengamalapatti Village and panchayat 2024 25,Manickam Tagore B,VIRUDHUNAGAR,Images,08-Aug-2026,1537684.51,WS/MP747/2026-2027/242062,Normal/Others,1537684.51,2026-08-08,TAMIL NADU,VIRUDHUNAGAR,MANICKAM TAGORE B,Construction of community Hall Building in Sengamalapatti Village and panchayat 2024 25,True
33657,Normal/Others,WS/MP241/2025-2026/255072-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),SOLAR LIGHT,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2025-2026/255072,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,SOLAR LIGHT,True
33658,Normal/Others,WS/MP18305/2026-2027/283080-Construction of footpaths and pedestrian ways,Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),"Construction of Padinjarayil road, Ward-22, Thrikkalangode Grama Panchayath",E.T. MOHAMMED BASHEER,MALAPPURAM,Images,06-Aug-2026,179160.75,WS/MP18305/2026-2027/283080,Normal/Others,179160.75,2026-08-06,KERALA,MALAPPURAM,E.T. MOHAMMED BASHEER,"Construction of Padinjarayil road, Ward-22, Thrikkalangode Grama Panchayath",True
33659,Normal/Others,WS/MP241/2025-2026/255067-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),solar light,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2025-2026/255067,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,solar light,True
33660,Normal/Others,WS/MP241/2025-2026/255070-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),SOLAR LIGHT,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2025-2026/255070,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,SOLAR LIGHT,True
33661,Normal/Others,WS/MP241/2025-2026/255069-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),solar light,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2025-2026/255069,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,solar light,True
33662,Normal/Others,WS/MP417/2025-2026/214992-Construction of public staircase/ stair ghat for public convenience,Bihar,NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA),Islampur block ke Ichahos panchayat me gram Manichak me Surya mandir talab me Sidhi ghat ka nirman.,Kaushalendra Kumar,NALANDA,Images,08-Aug-2026,204177.34,WS/MP417/2025-2026/214992,Normal/Others,204177.34,2026-08-08,BIHAR,NALANDA,KAUSHALENDRA KUMAR,Islampur block ke Ichahos panchayat me gram Manichak me Surya mandir talab me Sidhi ghat ka nirman.,True
33663,Normal/Others,WS/MP241/2025-2026/266877-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),SOLAR HIGH MAST LGHT,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2025-2026/266877,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,SOLAR HIGH MAST LGHT,True
33664,Normal/Others,WS/MP241/2025-2026/255075-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),SOLAR LIGHT,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2025-2026/255075,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,SOLAR LIGHT,True
33665,Normal/Others,WS/MP241/2025-2026/255068-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),solar light,Shri Jyotirmay Singh Mahato,PURULIA,Images,07-Sep-2026,193646.25,WS/MP241/2025-2026/255068,Normal/Others,193646.25,2026-09-07,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,solar light,True
33666,Normal/Others,WS/MP241/2026-2027/266871-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),SOLAR HIGH MAST LIGHT,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2026-2027/266871,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,SOLAR HIGH MAST LIGHT,True
33667,Normal/Others,"WS/MP577/2024-2025/133585-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Images,22-Aug-2026,127776.97,WS/MP577/2024-2025/133585,Normal/Others,127776.97,2026-08-22,GUJARAT,DAHOD(ST),JASWANTSINH SUMANBHAI BHABHOR,matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,True
33668,Normal/Others,WS/MP241/2026-2027/255074-Lighting of public spaces,West Bengal,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),SOLAR LIGHT,Shri Jyotirmay Singh Mahato,PURULIA,Images,05-Aug-2026,193646.25,WS/MP241/2026-2027/255074,Normal/Others,193646.25,2026-08-05,WEST BENGAL,PURULIA,SHRI JYOTIRMAY SINGH MAHATO,SOLAR LIGHT,True
33669,Normal/Others,WS/MP346/2026-2027/202219-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),INSTALLATION OF MML AT MARKET JUNCTION MARUTHUMMOODU IN KALLARA GP,Adv Adoor Prakash,ATTINGAL,Images,15-Aug-2026,124304.88,WS/MP346/2026-2027/202219,Normal/Others,124304.88,2026-08-15,KERALA,ATTINGAL,ADV ADOOR PRAKASH,INSTALLATION OF MML AT MARKET JUNCTION MARUTHUMMOODU IN KALLARA GP,True
33670,Normal/Others,"WS/MP18154/2025-2026/256976-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),Construction link road from Dera Gurdial Singh area approx 250 feet. The working agency will be PWD. Estimate accordingly PWD,SUKHJINDER SINGH RANDHAWA,GURDASPUR,Images,08-Sep-2026,110207.39,WS/MP18154/2025-2026/256976,Normal/Others,110207.39,2026-09-08,PUNJAB,GURDASPUR,SUKHJINDER SINGH RANDHAWA,Construction link road from Dera Gurdial Singh area approx 250 feet. The working agency will be PWD. Estimate accordingly PWD,True
33671,Normal/Others,WS/MP18033/2025-2026/168594-Construction of community centers and community halls,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),"Construction of Community Bhawan, Boundry Wall and installation of Hand Pump in village Jaspur, Post-Tarwan, Panchayat-Naudiha Sultanpur, Block-Fatehpur, District Gaya in Khata No. 267, Plot No. 388",JITAN RAM MANJHI,GAYA (SC),Images,06-Aug-2026,757090.76,WS/MP18033/2025-2026/168594,Normal/Others,757090.76,2026-08-06,BIHAR,GAYA (SC),JITAN RAM MANJHI,"Construction of Community Bhawan, Boundry Wall and installation of Hand Pump in village Jaspur, Post-Tarwan, Panchayat-Naudiha Sultanpur, Block-Fatehpur, District Gaya in Khata No. 267, Plot No. 388",True
33672,Normal/Others,WS/MP18276/2026-2027/280711-Construction of culverts and bridges,Gujarat,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),DEEP-BRIDGE WORK,JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR(ST),Images,24-Jul-2026,,WS/MP18276/2026-2027/280711,Normal/Others,,2026-07-24,GUJARAT,CHHOTA UDAIPUR(ST),JASHUBHAI BHILUBHAI RATHVA,DEEP-BRIDGE WORK,True
33673,Normal/Others,WS/MP18276/2026-2027/280712-Construction of culverts and bridges,Gujarat,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),DEEP-BRIDGE WORK,JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR(ST),Images,22-Jul-2026,,WS/MP18276/2026-2027/280712,Normal/Others,,2026-07-22,GUJARAT,CHHOTA UDAIPUR(ST),JASHUBHAI BHILUBHAI RATHVA,DEEP-BRIDGE WORK,True
33674,Normal/Others,WS/MP18033/2025-2026/168862-Installing hand pumps,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),"Installation of Hand Pump at common place in Village-Savodaypuri, near the house of Shri Jatan Manjhi, Panchayat-Atiya, Block-Bodh Gaya, District Gaya",JITAN RAM MANJHI,GAYA (SC),Images,14-Jul-2026,38161.23,WS/MP18033/2025-2026/168862,Normal/Others,38161.23,2026-07-14,BIHAR,GAYA (SC),JITAN RAM MANJHI,"Installation of Hand Pump at common place in Village-Savodaypuri, near the house of Shri Jatan Manjhi, Panchayat-Atiya, Block-Bodh Gaya, District Gaya",True
33675,Normal/Others,WS/MP18276/2026-2027/280713-Construction of footpaths and pedestrian ways,Gujarat,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),PAVER BLOCK WORK,JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR(ST),Images,24-Jul-2026,,WS/MP18276/2026-2027/280713,Normal/Others,,2026-07-24,GUJARAT,CHHOTA UDAIPUR(ST),JASHUBHAI BHILUBHAI RATHVA,PAVER BLOCK WORK,True
33676,Normal/Others,WS/MP18276/2026-2027/280708-Construction of culverts and bridges,Gujarat,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),DEEP-BRIDGE WORK,JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR(ST),Images,22-Jul-2026,,WS/MP18276/2026-2027/280708,Normal/Others,,2026-07-22,GUJARAT,CHHOTA UDAIPUR(ST),JASHUBHAI BHILUBHAI RATHVA,DEEP-BRIDGE WORK,True
33677,Normal/Others,WS/MP343/2025-2026/244521-Construction of footpaths and pedestrian ways,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),"Concreting of Pattathunada Kallampotta Foot Path, Ward 5, Poovar GP",Dr Shashi Tharoor,THIRUVANANTHAPURAM,Images,09-Sep-2026,172704.52,WS/MP343/2025-2026/244521,Normal/Others,172704.52,2026-09-09,KERALA,THIRUVANANTHAPURAM,DR SHASHI THAROOR,"Concreting of Pattathunada Kallampotta Foot Path, Ward 5, Poovar GP",True
